artwork_id,color_pallete,palette_count
28,#bdb082,4504
28,#5e4c2e,5352
28,#4f462b,6292
28,#3f3625,6296
34,#a3a990,11985
34,#848778,5324
34,#f0f09e,5394
34,#cddecb,1827
34,#bec6a2,4729
34,#bdd2d5,3641
34,#aec6d4,815
34,#aab8a9,4355
34,#a4c2c6,603
34,#a2c4fa,21099
34,#9ab6c3,2219
34,#93a8aa,3545
36,#b39f96,3103
36,#947b6e,4482
36,#886b58,4180
36,#6b5d59,4092
36,#452f26,4333
36,#1b0d09,7177
36,#ddd0c8,3702
36,#cdbab0,5521
36,#56463f,6514
36,#4a3a34,7005
36,#382823,5868
36,#2e1a11,9559
43,#bebbb0,4637
43,#b2a192,3757
43,#5c4d40,5058
43,#40352f,3638
43,#070707,7834
43,#d3d6c9,4015
43,#9d968f,5283
43,#91847b,7973
43,#766a60,6341
43,#2b2421,4359
43,#201814,4837
43,#131210,7804
45,#edd9bd,4536
45,#775745,2567
45,#6e7152,4186
45,#403529,3387
45,#b09c7d,3331
45,#9c7a61,5167
45,#57503c,6714
45,#404a35,5895
45,#303227,6489
45,#272a22,6962
45,#1d201b,9054
45,#131213,7248
47,#ead7ab,4913
47,#674132,2931
47,#656342,7170
47,#362b27,5285
47,#252b24,6329
47,#b5b88e,3373
47,#91684c,3234
47,#8f8a5f,7041
47,#475e3b,6819
47,#443e2f,4957
47,#38402e,5672
47,#130c15,7812
52,#cbd7c5,6145
52,#a29b64,3676
52,#90854d,5515
52,#7f7540,6008
52,#3a311f,6440
52,#ebf8dd,4141
52,#dff0dc,6229
52,#736839,5575
52,#6c5e34,4999
52,#5d582f,6293
52,#56482b,4927
52,#484426,5588
57,#a7a99b,3637
57,#858976,7698
57,#847153,3205
57,#716d55,5480
57,#616955,5483
57,#272114,6759
57,#1a1b11,6021
57,#979a8b,5975
57,#5c4a2f,5753
57,#3b3824,3697
57,#17160d,6152
57,#111008,5676
12,#ebe7e2,4053
12,#c9cfce,3648
12,#c7c1b3,3575
12,#a4c1cc,7711
12,#716f58,6066
12,#4e5d4d,4998
12,#432f2a,2891
12,#1b2924,8273
12,#b1a68f,5969
12,#8c705c,5401
12,#8a947f,6298
12,#47443b,6653
22,#e0d9c6,7195
22,#ddd7c5,5741
22,#a49d90,3594
22,#80796f,6685
22,#292521,5478
22,#e7e2cf,4513
22,#e5decc,6600
22,#e3dcc9,5463
22,#e0dcca,4136
22,#dcd4c0,4710
22,#d7d2c0,5866
22,#cdc6b4,5555
24,#9e858a,2404
24,#7b6d7a,9619
24,#76312a,4138
24,#625158,5126
24,#34252a,6851
24,#190b0f,6778
24,#b6a4aa,3430
24,#a29098,5419
24,#8b808f,7904
24,#8a767f,5571
24,#895a58,2762
24,#27181b,5534
37,#b39765,6497
37,#996940,3369
37,#645b3c,5791
37,#160d09,7081
37,#d8b67a,3377
37,#9d8458,6417
37,#7e6645,6952
37,#684027,3005
37,#4f3c28,6869
37,#413622,6181
37,#312e1c,4709
37,#281e13,5288
48,#b4af80,4056
48,#8c6546,3863
48,#666345,5688
48,#4c593d,5778
48,#283122,8203
48,#17110f,8058
48,#d4d8d2,4213
48,#a98c64,4330
48,#7d825a,4031
48,#584833,4441
48,#483224,4068
48,#3c462f,8807
49,#f2dbae,4188
49,#bcb39e,5972
49,#727366,7647
49,#718b88,5056
49,#3c5d60,3947
49,#33353e,6828
49,#e4c89e,5489
49,#b89a78,5124
49,#909283,4779
49,#855454,2278
49,#4f5857,6291
49,#394c4f,7937
50,#f1dfd1,4192
50,#dbc9b6,4281
50,#cfb59a,3890
50,#a9b187,4398
50,#684b41,5297
50,#351f1f,8230
50,#b39a74,4729
50,#ac7e60,4005
50,#89725d,5993
50,#7b5446,5560
50,#59322a,6777
50,#1c080a,8184
6,#c9b5aa,4088
6,#63555a,2278
6,#4a2d31,2893
6,#414955,6745
6,#28252c,6107
6,#1c1d24,5064
6,#0e0b10,6397
6,#77767c,3719
6,#5d6672,9471
6,#4d5864,6664
6,#333039,6389
6,#16141a,5721
9,#e1cbbf,4075
9,#d1b5a5,5501
9,#b57766,3545
9,#794145,6719
9,#4a3b46,5844
9,#3e2d3a,6604
9,#b79c8e,6865
9,#92444a,3507
9,#8e7269,6020
9,#6c686b,5592
9,#654247,6201
9,#4f4a54,5063
21,#462f2e,4490
21,#251d22,5427
21,#181318,4324
21,#131116,4646
21,#0b090d,7011
21,#c8ac93,3804
21,#bc9c81,6927
21,#a18471,5795
21,#674e48,3827
21,#2c262b,7724
21,#1b181d,4982
21,#100e13,6579
27,#bec3c3,3752
27,#6d8983,5956
27,#516f65,5822
27,#3a3b2e,5411
27,#284133,3807
27,#909c9a,6164
27,#71705c,4962
27,#4a5242,6701
27,#416a68,2538
27,#36503e,7135
27,#242e24,6264
27,#1d1c18,7024
32,#b19787,3835
32,#868788,5525
32,#725f4e,2544
32,#5a3116,5444
32,#565557,7746
32,#3c2b23,5580
32,#170d09,9296
32,#723918,6081
32,#ebe8e1,3976
32,#c1bebc,4631
32,#925a35,3337
32,#201c11,7541
40,#c39b7b,3377
40,#543b31,5317
40,#1a171d,7161
40,#181113,5380
40,#140f12,6783
40,#130f10,6738
40,#100d0e,5568
40,#7b5c45,6179
40,#3d1e1a,4505
40,#211e25,6139
40,#120c0f,3255
40,#0f0a0b,5134
51,#a0895b,6140
51,#95b7c3,7105
51,#89a18d,2929
51,#6a653e,4520
51,#5d4524,2469
51,#424120,6032
51,#314720,4752
51,#201107,8298
51,#d7c8b4,4657
51,#6b8861,6061
51,#508468,3032
51,#456438,9541
1,#f0e1d4,4824
1,#d3bfac,3775
1,#a49177,7226
1,#7a6b57,5030
1,#583124,3712
1,#4b453c,6192
1,#24251f,5745
1,#141d19,6218
1,#0f1714,5462
1,#08110e,5967
1,#68503c,4335
1,#353029,7050
2,#e4c385,4463
2,#c5914c,4052
2,#4c2512,3810
2,#1a1712,6645
2,#18130e,9278
2,#8a5625,3458
2,#5d3617,4678
2,#3a2016,5943
2,#321810,4476
2,#2a1e17,5977
2,#271610,5173
2,#211612,7583
3,#9f877b,5906
3,#845950,4526
3,#3d2325,2819
3,#151317,4867
3,#100d11,5704
3,#090509,6425
3,#e5d4c6,3739
3,#c7b2a3,5816
3,#5f504b,5737
3,#423c3b,6316
3,#292225,7321
3,#1f1a1e,6360
14,#a4bbb7,5118
14,#90b1b2,10592
14,#8a8740,8085
14,#7a9d88,3423
14,#6f7f3e,4234
14,#6a6f35,4648
14,#505727,6093
14,#3a3518,6076
14,#cdd0c4,3916
14,#979854,5770
14,#847a3b,3930
14,#665e2f,3651
30,#faedcf,4015
30,#f5db9f,4934
30,#d1bb82,2497
30,#bc9f5d,4118
30,#aa8342,4860
30,#855d32,4641
30,#262116,8236
30,#eeca7d,4535
30,#718a8c,6091
30,#635a2f,6696
30,#4b4e28,6460
30,#40321e,8453
39,#e6cfcd,4321
39,#94713b,3479
39,#846f48,7604
39,#5a492a,4305
39,#cea88c,4584
39,#a4886c,5866
39,#77643f,6652
39,#705227,4865
39,#4d3012,6358
39,#34220c,5403
39,#291605,5095
39,#1b0a02,7004
44,#f6fbb2,3797
44,#f2f354,5354
44,#e4f3c0,4799
44,#dce54b,3892
44,#c3bd33,7217
44,#9b8317,6384
44,#88a56d,6242
44,#68590e,7615
44,#3b3911,8020
44,#788019,8411
44,#64420a,3206
44,#627a51,599
58,#be8b6c,4412
58,#5f4132,5394
58,#34231b,6187
58,#281d18,5417
58,#100d0b,5429
58,#0b0b0a,6393
58,#f0c6a3,4427
58,#1e1814,6255
58,#19120f,6044
58,#11100f,4895
58,#080808,5125
58,#050605,5558
59,#b7b3a9,8077
59,#ab9d8c,3712
59,#575553,8148
59,#3a3533,5301
59,#1d1f1c,7334
59,#ebe6df,4209
59,#d1ccc4,4406
59,#98948c,5138
59,#838480,6782
59,#7a685b,3066
59,#666461,6196
59,#5e3834,3167
221,#f9edd5,4698
221,#ddc7b2,3407
221,#b47f78,3475
221,#959f79,4070
221,#685750,4707
221,#4c5142,6218
221,#463b37,6588
221,#282723,8144
221,#0f0b0c,8017
221,#c9a699,4619
221,#87806d,5810
221,#697059,5783
111,#eee3b7,4402
111,#c7b58a,4185
111,#9b895d,7166
111,#926749,3932
111,#796342,6926
111,#563728,3147
111,#2b2b1b,4801
111,#5e5c39,5065
111,#5e4831,6015
111,#3b3422,7796
111,#231e13,5760
111,#170e08,6341
94,#f3c597,3485
94,#c17b52,5468
94,#9b6b53,4002
94,#1c0f12,8250
94,#e5b084,5599
94,#db9868,3359
94,#c38e67,3038
94,#b86a45,4123
94,#8f5c49,5418
94,#794c42,6602
94,#553634,8026
94,#332426,8166
101,#ccc5c7,5892
101,#cabdb6,966
101,#c0a373,3105
101,#b7b5c1,7825
101,#9d835c,4571
101,#f6e2ab,3855
101,#ebd297,5819
101,#e6c889,5875
101,#d7b872,4864
101,#b58a4f,5423
101,#905a30,10367
101,#5e3417,6974
105,#ba9766,4387
105,#9c6d41,3705
105,#8d6b3e,5744
105,#7e633b,6757
105,#61452b,7072
105,#2a1711,7447
105,#e3c499,3752
105,#ac824d,4314
105,#987c4c,4506
105,#885033,2425
105,#715030,7175
105,#483424,8252
122,#efd5bf,4658
122,#e7c7ad,4304
122,#d2b19a,5221
122,#bbb5ce,3269
122,#b9937f,7610
122,#aaafdb,4506
122,#a7abcc,5871
122,#8b6356,10670
122,#f9e4cb,3865
122,#c5c2d8,4856
122,#9d8885,4068
122,#463233,6638
123,#f8e9ce,4659
123,#f5dbb7,3762
123,#f4e1c3,4227
123,#ead9ba,4736
123,#e8b987,5644
123,#863919,6831
123,#f1ca93,3917
123,#eed0ae,5300
123,#e7a26e,4897
123,#e0caa8,6564
123,#cfa27f,5163
123,#bf8062,9836
125,#c78b65,5877
125,#64413a,5201
125,#2e191c,5195
125,#f4c497,4117
125,#e2aa83,4983
125,#b07657,5904
125,#a66a4f,5323
125,#8c5e4a,5485
125,#77483f,5250
125,#54302f,6154
125,#3b2423,4982
125,#1e0e11,7065
127,#f4f3f0,4267
127,#bdc1d1,5607
127,#898998,6900
127,#636342,7253
127,#514f29,5515
127,#2c271d,5774
127,#e4e4e8,6062
127,#a99284,3056
127,#787e6f,3931
127,#766a5f,5189
127,#555a31,3970
127,#4a462a,8012
138,#e59f50,3748
138,#8d5537,7194
138,#7b3f2c,8943
138,#20150f,5585
138,#180f0e,4254
138,#0f0f0d,2041
138,#0b0b0b,8396
138,#080505,4069
138,#ba6a3b,5058
138,#4f3022,7016
138,#3c1a16,4450
138,#14080a,4782
159,#e4d397,3762
159,#7d6f3b,5391
159,#6b592f,4658
159,#4a492b,6367
159,#3c331e,5266
159,#2a2b19,5096
159,#211b0f,6302
159,#131508,4971
159,#bcaa6d,5431
159,#9e8c50,6309
159,#0f0e04,5933
159,#0b0805,6050
162,#c6b7a4,4736
162,#a17759,4542
162,#968f84,4116
162,#7c5b47,4747
162,#261916,6967
162,#ebe2ce,3782
162,#b59674,3564
162,#8d725a,5243
162,#786e5b,5571
162,#6a5847,6556
162,#595040,7002
162,#4a3a30,8710
179,#ebc795,3540
179,#d1a371,4739
179,#b2895c,3697
179,#886545,6039
179,#593b28,7186
179,#1e110d,7988
179,#c6905e,4397
179,#ac7c4e,5058
179,#a26e42,4568
179,#7d5233,5358
179,#664e3a,5120
179,#382a21,7846
193,#f5d588,3696
193,#b59358,3873
193,#a67f4e,4033
193,#7d5737,5851
193,#735131,4853
193,#66492c,7208
193,#e0ba6c,4839
193,#cda461,4344
193,#986e46,4949
193,#85643e,6349
193,#553624,8307
193,#301c13,7234
215,#d49156,3867
215,#913f20,1399
215,#752d18,2854
215,#71492d,7292
215,#592d16,8537
215,#3a2717,4203
215,#2d130a,6106
215,#a65e35,4230
215,#9f4c2a,3181
215,#6e4025,7561
215,#623c22,9866
215,#4c2a15,6440
220,#dfbb8c,3479
220,#bc8b63,5119
220,#b4774f,3654
220,#9e5d3f,3248
220,#553b2f,6086
220,#33271e,8317
220,#1d110d,7472
220,#8c7050,5227
220,#7e5e44,5804
220,#685440,6264
220,#674030,3768
220,#48362b,7098
225,#ebd9be,4148
225,#cabdb0,4822
225,#bdafa3,3259
225,#aaabad,5587
225,#282b1b,5455
225,#a89e97,5984
225,#969aad,7699
225,#918a83,5351
225,#867c70,5239
225,#62664c,6026
225,#4d4e34,5481
225,#40462e,6485
261,#e0a78b,4490
261,#802115,7702
261,#6d5b45,4951
261,#6c513b,298
261,#46432c,10868
261,#412115,5338
261,#a83827,5424
261,#8a3222,5210
261,#836850,1637
261,#585a42,7749
261,#544c35,7497
261,#4b4e35,4372
263,#f1f3ef,4839
263,#d5d7ca,4303
263,#766952,5312
263,#2b2b1e,5822
263,#251f16,5405
263,#20150e,5595
263,#110d08,6276
263,#9f9e81,6073
263,#5f5a45,4789
263,#494836,6731
263,#403629,5063
263,#353226,5328
266,#efe5c7,3739
266,#66693f,5643
266,#4d3d2d,4431
266,#353528,5829
266,#1e1b15,6553
266,#ccba8c,5412
266,#a79668,5920
266,#8c7654,5202
266,#7b704a,6062
266,#6f583f,4132
266,#5c5638,6519
266,#4d5232,6094
270,#ae8761,2538
270,#745141,5841
270,#6b4136,4894
270,#4b2d25,6827
270,#382923,4817
270,#231511,6311
270,#71483b,3875
270,#603e33,4570
270,#5f4839,5984
270,#553e31,6999
270,#54362c,7552
270,#30201b,5328
124,#f3dfc6,3589
124,#e4cbb5,5785
124,#968376,5694
124,#323538,7647
124,#dac0ac,6589
124,#d3b8a4,6228
124,#cfb09a,4677
124,#c4ac9e,5345
124,#bca291,5428
124,#b59886,3925
124,#a59084,4052
124,#766a60,6577
133,#ad836c,4235
133,#735749,6011
133,#4f413b,7574
133,#3a3734,7384
133,#1e2524,7527
133,#e7c4a3,3781
133,#986a52,4444
133,#825a47,4202
133,#7c665c,4491
133,#6c483a,3823
133,#63544c,6552
133,#5c463d,5512
182,#c0a988,3378
182,#8f6741,3053
182,#7b4927,4582
182,#6f6154,5810
182,#64472f,4263
182,#998065,4972
182,#532c16,5139
182,#50402d,5611
182,#402817,6081
182,#342215,6879
182,#251a12,7901
182,#1b0c08,7867
268,#d6b7c2,6015
268,#b29997,4328
268,#a38579,5348
268,#6f5d5a,4716
268,#413731,6194
268,#2d2121,4909
268,#23171a,4393
268,#e7cad4,3822
268,#c7aab0,6519
268,#8c766d,6314
268,#555043,4840
268,#1a0e12,8138
172,#f5e5db,4123
172,#ead5c8,5039
172,#d1c1b7,4060
172,#c7a590,4454
172,#b19b8f,5681
172,#846f66,4452
172,#5a595a,7165
172,#3b3d42,8781
172,#e2c8b3,3136
172,#ccb4a2,5792
172,#9c8479,5100
172,#1d242a,7753
195,#b29791,5134
195,#9e817a,3517
195,#1d292a,6116
195,#d8c0ba,3633
195,#c3b0ac,4403
195,#c2a6a1,4061
195,#a9a4a5,7489
195,#979290,8263
195,#867e78,6543
195,#6d6c66,6299
195,#3a3e3b,3276
195,#141e1f,6802
289,#f8dfa3,4349
289,#d3915e,3751
289,#ac5d38,4209
289,#a38566,3855
289,#8d5739,6308
289,#623f2a,3448
289,#151b19,7411
289,#dfbe89,4534
289,#65523c,4952
289,#433c2c,7029
289,#323227,6734
289,#212621,8956
76,#f5e1c2,5532
76,#c5a984,3746
76,#a47f5a,7224
76,#3b2b26,5274
76,#2f1f1c,5405
76,#fdeccb,4645
76,#9b6e4d,4506
76,#7f664e,6017
76,#705442,5729
76,#664637,4505
76,#4c3c34,6377
76,#1b1010,6576
86,#e1cb91,3721
86,#6a513b,4887
86,#3d2d1e,5985
86,#392117,5630
86,#321912,5667
86,#23130b,5568
86,#b4a06e,5231
86,#8a7a57,6291
86,#736046,5781
86,#574834,5820
86,#503a2a,5980
86,#493023,4975
95,#f9f1dc,4190
95,#efe7d3,5741
95,#d6c7af,5175
95,#bc956f,6381
95,#52392f,5805
95,#e6d6bd,3204
95,#d6ac7e,6830
95,#bda48a,6548
95,#b38864,4675
95,#9e887b,5580
95,#9c6e51,5348
95,#846651,6059
110,#eec19b,3287
110,#dda387,3850
110,#d7afa5,7130
110,#c99b7b,3552
110,#715d38,6425
110,#664b31,5401
110,#291d18,6658
110,#e4b6a0,7324
110,#e1b0a0,5673
110,#bb764b,5840
110,#926a44,5058
110,#593a2a,5338
160,#eab762,4932
160,#c79b54,3569
160,#c3853e,4113
160,#a57b3f,5215
160,#826d3f,6817
160,#71572f,7860
160,#3d3722,6016
160,#f7d683,3335
160,#e2a24e,4811
160,#574c2c,7781
160,#474229,5023
160,#232218,6064
174,#e5e3ef,5277
174,#e0cfd0,5572
174,#d4d7ee,5308
174,#e5dfed,3348
174,#937f50,6352
174,#eceaf3,4469
174,#e1dae6,8386
174,#d8def3,6794
174,#cccee5,4757
174,#c3aa87,3620
174,#766e43,5460
174,#45362a,6193
217,#90534e,5203
217,#7d4948,5350
217,#653336,4926
217,#592f33,5584
217,#4b2930,5988
217,#321920,5661
217,#240d14,6052
217,#df9076,3841
217,#c47869,5658
217,#a7665d,5973
217,#6a4043,6199
217,#3b2229,5101
78,#f2f1ea,4066
78,#7d7973,5948
78,#555762,6375
78,#423935,4768
78,#21252b,5436
78,#d9d6cf,5765
78,#b2aa9a,5442
78,#6b625e,3996
78,#4a4444,6328
78,#333434,5628
78,#2c282b,5490
78,#1c1c24,6294
90,#eae1ca,3728
90,#ccc1ad,5379
90,#867766,5175
90,#152120,5289
90,#ac9a86,6260
90,#6a6052,4755
90,#4b362c,2319
90,#4a4c42,7126
90,#30342c,7208
90,#262c26,6273
90,#1a2623,5143
90,#0f1c1c,6881
126,#c1b154,4978
126,#854735,4220
126,#6d7537,6550
126,#412f21,3697
126,#3f211d,6941
126,#2c1310,6218
126,#dfce6b,3863
126,#c07c4b,3459
126,#aa9e48,7180
126,#8c823e,6168
126,#5f2c25,6588
126,#5f422f,5674
146,#fcfdfd,4039
146,#f3f5f8,7128
146,#f0f1f5,5228
146,#eeeff2,7448
146,#ecedf0,6879
146,#eaedef,2617
146,#e9ebee,4392
146,#e7e9ec,9781
146,#f6f8fb,5397
146,#f1f2f6,5679
146,#d9dade,3033
146,#eef1f3,3915
150,#8a816d,4253
150,#859182,4382
150,#2f4743,7985
150,#e3e6ca,3943
150,#afb097,4204
150,#a3947c,4406
150,#777c6d,5082
150,#61766c,6188
150,#5b665c,4250
150,#4d625c,6123
150,#3f5a55,6898
150,#193232,7822
153,#4a4339,6017
153,#372323,5264
153,#1c1312,6450
153,#f8f2dc,4168
153,#dcd2b8,4777
153,#b5ac90,6146
153,#9d9075,6179
153,#927a60,4572
153,#77705c,5577
153,#6b5a4a,6226
153,#634a3e,4610
153,#40302c,5550
165,#cdb58b,5303
165,#8a6d26,9575
165,#685730,4387
165,#403322,6375
165,#e8e0de,3952
165,#b69c6f,6016
165,#a98261,6953
165,#9b7c40,4555
165,#8d762e,3670
165,#876628,3770
165,#421c13,2687
165,#20160e,8293
200,#d9dfdc,2894
200,#b9a383,5895
200,#b8c9db,9002
200,#b2bbc4,4345
200,#8f8b77,5029
200,#65654a,3596
200,#b08a68,4160
200,#906e58,5737
200,#825a4f,5032
200,#5d5043,4804
200,#543a2e,7369
200,#17180f,7673
229,#d7d9d3,7602
229,#594537,4457
229,#303529,6622
229,#13130d,6099
229,#ebf2e9,4056
229,#e1e6de,5841
229,#b0a8a0,2546
229,#8c8076,5543
229,#6b6051,6337
229,#424035,5733
229,#2c261d,4795
229,#212218,5905
241,#e2c7ab,3052
241,#bb9575,6027
241,#754d42,5414
241,#574540,4810
241,#513131,6040
241,#3f2d30,7574
241,#2b292f,5111
241,#212128,4990
241,#161922,6579
241,#9d785d,6658
241,#8a5648,4867
241,#6c3434,4414
