artist,year,color,count
Degas,1884,#766e7e,26
Degas,1885,#100b0a,35
Degas,1886,#423a32,26
Degas,1887,#5f3917,11
Degas,1888,#82694d,7
Degas,1889,#653c31,9
Degas,1890,#4b340d,33
Degas,1891,#c9b695,9
Degas,1892,#3b2a28,16
Degas,1893,#412d1d,10
Degas,1894,#4a5e37,10
Degas,1895,#4a4640,40
Degas,1896,#cdb682,19
Degas,1897,#262627,10
Degas,1898,#4e4436,7
Degas,1899,#9e7a6a,21
Degas,1900,#473e3a,19
Degas,1901,#201e20,2
Degas,1902,#351e0e,4
Degas,1903,#9b8889,4
Degas,1904,#c57e53,3
Degas,1905,#b78d55,8
Degas,1906,#583930,1
Degas,1907,#345675,0
Degas,1908,#345675,0
Degas,1909,#345675,0
Degas,1910,#d88b35,1
Degas,1911,#345675,0
Degas,1912,#345675,0
Guillaumin,1867,#664e42,1
Guillaumin,1868,#345675,0
Guillaumin,1869,#f3f4e9,2
Guillaumin,1870,#36190b,1
Guillaumin,1871,#53554c,0
Guillaumin,1872,#76524a,1
Guillaumin,1873,#84a69a,2
Guillaumin,1874,#cbd9dc,1
Guillaumin,1875,#668c97,2
Guillaumin,1876,#9eb3d5,1
Guillaumin,1877,#0b0a0d,1
Guillaumin,1878,#92a7d0,3
Guillaumin,1879,#46352f,1
Guillaumin,1880,#7c523b,1
Guillaumin,1881,#816c57,1
Guillaumin,1882,#345675,0
Guillaumin,1883,#3b2828,1
Guillaumin,1884,#151518,1
Guillaumin,1885,#1b1916,3
Guillaumin,1886,#345675,0
Guillaumin,1887,#0b1317,1
Guillaumin,1888,#345675,0
Guillaumin,1889,#9c8755,1
Guillaumin,1890,#25332c,7
Guillaumin,1891,#345675,0
Guillaumin,1892,#345675,0
Guillaumin,1893,#345675,0
Guillaumin,1894,#b5313b,2
Guillaumin,1895,#090810,9
Guillaumin,1896,#373435,1
Guillaumin,1897,#c89975,2
Guillaumin,1898,#ece3d8,2
Guillaumin,1899,#afa7a3,2
Guillaumin,1900,#311416,6
Guillaumin,1901,#f0e9dd,1
Guillaumin,1902,#1a171b,1
Guillaumin,1903,#345675,0
Guillaumin,1904,#988996,1
Guillaumin,1905,#171620,2
Guillaumin,1906,#345675,0
Guillaumin,1907,#442431,2
Guillaumin,1908,#345675,0
Guillaumin,1909,#1c1f21,1
Guillaumin,1910,#a79669,3
Guillaumin,1911,#302720,3
Guillaumin,1912,#345675,0
Guillaumin,1913,#345675,0
Guillaumin,1914,#345675,0
Guillaumin,1915,#2b1325,1
Guillaumin,1916,#345675,0
Guillaumin,1917,#9ae5e3,1
Manet,1849,#e1e4d9,1
Manet,1850,#41332b,2
Manet,1851,#345675,0
Manet,1852,#345675,0
Manet,1853,#345675,0
Manet,1854,#423233,1
Manet,1855,#345675,0
Manet,1856,#345675,0
Manet,1857,#345675,0
Manet,1858,#322724,2
Manet,1859,#4a2f1b,5
Manet,1860,#111014,4
Manet,1861,#cec7ab,12
Manet,1862,#444039,40
Manet,1863,#172016,13
Manet,1864,#292825,23
Manet,1865,#111a27,13
Manet,1866,#322d28,16
Manet,1867,#423931,19
Manet,1868,#e1d8d1,22
Manet,1869,#c7c9c6,13
Manet,1870,#060c0b,13
Manet,1871,#825836,10
Manet,1872,#1a1013,14
Manet,1873,#17181c,14
Manet,1874,#9c8061,22
Manet,1875,#8ca6d0,18
Manet,1876,#715947,4
Manet,1877,#131a1a,10
Manet,1878,#6c6738,24
Manet,1879,#3d3229,27
Manet,1880,#9e8287,34
Manet,1881,#99876f,14
Manet,1882,#d8c6ad,32
Manet,1883,#a98c5b,3
Manet,1884,#345675,0
Manet,1885,#345675,0
Manet,1886,#345675,0
Manet,1887,#345675,0
Manet,1888,#345675,0
Manet,1889,#345675,0
Manet,1890,#345675,0
Manet,1891,#345675,0
Manet,1892,#345675,0
Manet,1893,#345675,0
Manet,1894,#345675,0
Manet,1895,#345675,0
Manet,1896,#345675,0
Manet,1897,#345675,0
Manet,1898,#345675,0
Manet,1899,#345675,0
Manet,1900,#345675,0
Manet,1901,#345675,0
Manet,1902,#f0dfc8,1
Manet,1903,#345675,0
Manet,1904,#345675,0
Manet,1905,#f6eee1,0
Monet,1858,#081109,1
Monet,1859,#345675,0
Monet,1860,#345675,0
Monet,1861,#292c33,2
Monet,1862,#000000,2
Monet,1863,#edeadd,2
Monet,1864,#5a4e4d,22
Monet,1865,#131916,29
Monet,1866,#010209,19
Monet,1867,#898c94,26
Monet,1868,#1e1e18,18
Monet,1869,#878f82,19
Monet,1870,#bfb8c3,22
Monet,1871,#50412f,34
Monet,1872,#8d90ac,57
Monet,1873,#a5aba9,47
Monet,1874,#a4aaae,45
Monet,1875,#c7c3b4,44
Monet,1876,#192914,37
Monet,1877,#a77633,19
Monet,1878,#303e57,38
Monet,1879,#142c2b,34
Monet,1880,#170c0f,64
Monet,1881,#4a4846,53
Monet,1882,#846143,80
Monet,1883,#9c7f5c,44
Monet,1884,#484144,53
Monet,1885,#4a5860,60
Monet,1886,#0f0b0b,52
Monet,1887,#b6baaf,24
Monet,1888,#b5ada6,44
Monet,1889,#6d7781,25
Monet,1890,#6e8681,31
Monet,1891,#747a99,39
Monet,1892,#888589,6
Monet,1893,#4f696c,14
Monet,1894,#9ca28d,37
Monet,1895,#cbb8af,17
Monet,1896,#f4e4ce,12
Monet,1897,#090a1e,45
Monet,1898,#345675,0
Monet,1899,#9b998c,23
Monet,1900,#4e6327,17
Monet,1901,#76655e,15
Monet,1902,#7a838c,5
Monet,1903,#878f98,29
Monet,1904,#4e5351,15
Monet,1905,#a19a96,9
Monet,1906,#668b9a,7
Monet,1907,#647922,14
Monet,1908,#443959,47
Monet,1909,#345675,0
Monet,1910,#345675,0
Monet,1911,#345675,0
Monet,1912,#345675,0
Monet,1913,#4f5c3a,3
Monet,1914,#676d51,39
Monet,1915,#345675,0
Monet,1916,#433f4b,15
Monet,1917,#aaac93,18
Monet,1918,#46221b,26
Monet,1919,#35352c,9
Monet,1920,#242e32,14
Monet,1921,#160a09,1
Monet,1922,#c5bcae,7
Monet,1923,#345675,0
Monet,1924,#345675,0
Monet,1925,#a5aabb,4
Monet,1926,#dcc49e,1
Morisot,1850,#bbc599,12
Morisot,1851,#345675,0
Morisot,1852,#345675,0
Morisot,1853,#345675,0
Morisot,1854,#345675,0
Morisot,1855,#345675,0
Morisot,1856,#345675,0
Morisot,1857,#345675,0
Morisot,1858,#180a0e,1
Morisot,1859,#345675,0
Morisot,1860,#345675,0
Morisot,1861,#345675,0
Morisot,1862,#345675,0
Morisot,1863,#2e120e,2
Morisot,1864,#0f1011,2
Morisot,1865,#1a0c0b,1
Morisot,1866,#c19b66,3
Morisot,1867,#345675,0
Morisot,1868,#345675,0
Morisot,1869,#a59652,4
Morisot,1870,#160d13,3
Morisot,1871,#e1c0b9,6
Morisot,1872,#18151c,8
Morisot,1873,#6b5623,8
Morisot,1874,#404327,10
Morisot,1875,#e7e8dc,14
Morisot,1876,#464435,4
Morisot,1877,#442d2d,4
Morisot,1878,#1f0d12,1
Morisot,1879,#6f6c5b,7
Morisot,1880,#6c5448,10
Morisot,1881,#16141c,9
Morisot,1882,#987e51,9
Morisot,1883,#201815,13
Morisot,1884,#b9ac86,17
Morisot,1885,#7e5a32,19
Morisot,1886,#806b4a,11
Morisot,1887,#221a1d,3
Morisot,1888,#d5d1ac,8
Morisot,1889,#b5ac9f,12
Morisot,1890,#613821,8
Morisot,1891,#e1cfb7,12
Morisot,1892,#2d1b28,12
Morisot,1893,#d0cabd,10
Morisot,1894,#a57c62,16
Pissarro,1853,#1e0d0b,1
Pissarro,1854,#7398c1,4
Pissarro,1855,#2b2a23,1
Pissarro,1856,#291c1e,3
Pissarro,1857,#c9c0b1,1
Pissarro,1858,#345675,0
Pissarro,1859,#0c0201,1
Pissarro,1860,#345675,0
Pissarro,1861,#345675,0
Pissarro,1862,#221112,1
Pissarro,1863,#121216,6
Pissarro,1864,#191313,8
Pissarro,1865,#130c03,2
Pissarro,1866,#2d1206,3
Pissarro,1867,#1d1413,10
Pissarro,1868,#3f4f31,4
Pissarro,1869,#c9c5c8,8
Pissarro,1870,#332c17,20
Pissarro,1871,#dbbc89,19
Pissarro,1872,#e2922c,51
Pissarro,1873,#49261f,33
Pissarro,1874,#222820,47
Pissarro,1875,#bab881,29
Pissarro,1876,#423c30,18
Pissarro,1877,#a58a6a,26
Pissarro,1878,#93928f,19
Pissarro,1879,#635418,23
Pissarro,1880,#2c2926,22
Pissarro,1881,#4f5646,23
Pissarro,1882,#46421e,27
Pissarro,1883,#ac6d49,29
Pissarro,1884,#a18b53,19
Pissarro,1885,#444318,17
Pissarro,1886,#618459,15
Pissarro,1887,#b1b2b8,15
Pissarro,1888,#70868d,22
Pissarro,1889,#c5bea0,10
Pissarro,1890,#dcdcdc,108
Pissarro,1891,#181019,20
Pissarro,1892,#cdbaa8,28
Pissarro,1893,#a1a193,19
Pissarro,1894,#f0eff2,22
Pissarro,1895,#1e2312,24
Pissarro,1896,#2a1f17,33
Pissarro,1897,#1f1a19,39
Pissarro,1898,#d2ac8f,41
Pissarro,1899,#776c4f,30
Pissarro,1900,#bac9bf,25
Pissarro,1901,#5e3e28,35
Pissarro,1902,#96704e,36
Pissarro,1903,#674229,25
Renoir,1864,#c0a8a0,6
Renoir,1865,#726737,3
Renoir,1866,#3b271b,7
Renoir,1867,#1e1819,9
Renoir,1868,#21281d,12
Renoir,1869,#2c2a2a,8
Renoir,1870,#a3562a,14
Renoir,1871,#182023,13
Renoir,1872,#737aa0,19
Renoir,1873,#46453c,14
Renoir,1874,#65554d,29
Renoir,1875,#221811,55
Renoir,1876,#2b2a2a,65
Renoir,1877,#432624,23
Renoir,1878,#29111f,28
Renoir,1879,#2d2e23,42
Renoir,1880,#0f0f0c,54
Renoir,1881,#3d3927,54
Renoir,1882,#5e3d27,25
Renoir,1883,#1b151a,43
Renoir,1884,#968e81,15
Renoir,1885,#506798,38
Renoir,1886,#7b703e,11
Renoir,1887,#392a2a,21
Renoir,1888,#18110f,24
Renoir,1889,#929bb6,21
Renoir,1890,#f8fefc,243
Renoir,1891,#cba771,10
Renoir,1892,#be885b,29
Renoir,1893,#7e4932,12
Renoir,1894,#603b3a,14
Renoir,1895,#474c18,60
Renoir,1896,#252811,21
Renoir,1897,#b24035,18
Renoir,1898,#eadbc6,19
Renoir,1899,#2c2f22,9
Renoir,1900,#503434,35
Renoir,1901,#b06e36,16
Renoir,1902,#5e4e2a,12
Renoir,1903,#97a2c7,10
Renoir,1904,#5d2e28,13
Renoir,1905,#ddbc9c,38
Renoir,1906,#301006,22
Renoir,1907,#b46531,14
Renoir,1908,#783d12,19
Renoir,1909,#925029,21
Renoir,1910,#8a5436,53
Renoir,1911,#ec8347,8
Renoir,1912,#824021,14
Renoir,1913,#ad7d51,16
Renoir,1914,#ae230f,17
Renoir,1915,#7a774d,21
Renoir,1916,#634c21,22
Renoir,1917,#692117,19
Renoir,1918,#b94a30,17
Renoir,1919,#8a381f,10
Sisley,1850,#abb9b0,19
Sisley,1851,#345675,0
Sisley,1852,#345675,0
Sisley,1853,#345675,0
Sisley,1854,#345675,0
Sisley,1855,#345675,0
Sisley,1856,#345675,0
Sisley,1857,#345675,0
Sisley,1858,#345675,0
Sisley,1859,#345675,0
Sisley,1860,#345675,0
Sisley,1861,#345675,0
Sisley,1862,#345675,0
Sisley,1863,#345675,0
Sisley,1864,#345675,0
Sisley,1865,#524733,2
Sisley,1866,#a9c6dc,3
Sisley,1867,#1f0e0c,2
Sisley,1868,#a7c5ed,1
Sisley,1869,#47412c,2
Sisley,1870,#1a1a2e,8
Sisley,1871,#74615c,2
Sisley,1872,#191d11,32
Sisley,1873,#715832,26
Sisley,1874,#ac9da1,34
Sisley,1875,#a19e97,29
Sisley,1876,#d3cab8,39
Sisley,1877,#6d6f53,17
Sisley,1878,#a99d96,14
Sisley,1879,#ced4d7,19
Sisley,1880,#d6dbd0,28
Sisley,1881,#453d2b,16
Sisley,1882,#3d2b1b,9
Sisley,1883,#a2aac7,10
Sisley,1884,#261c12,17
Sisley,1885,#645b63,46
Sisley,1886,#814f21,14
Sisley,1887,#d8e9ec,6
Sisley,1888,#abbcd2,24
Sisley,1889,#a1aeb6,10
Sisley,1890,#c3bfcd,16
Sisley,1891,#875d39,8
Sisley,1892,#264940,20
Sisley,1893,#98ace9,9
Sisley,1894,#c5c7c3,8
Sisley,1895,#929db7,6
Sisley,1896,#ba9c93,8
Sisley,1897,#0d0e0d,14
Sisley,1898,#72c2f6,1
