artist,year,color,paint_id,artwork_name,artwork_url
Bazille,1868,#e0d9c6,22,manet and his easel,https://images.metmuseum.org/CRDImages/rl/original/DT3244.jpg
Bazille,1868,#7b6d7a,24,Portrait of Alphonse Tissie,https://uploads5.wikiart.org/images/Bazille-Bazille/portrait-of-alphonse-tissie.jpg
Bazille,1868,#160d09,37,Flowers,https://uploads8.wikiart.org/images/Bazille-Bazille/flowers-1868.jpg
Bazille,1868,#3c462f,48,The Fisherman with a Net,https://uploads2.wikiart.org/images/Bazille-Bazille/the-fisherman-with-a-net.jpg
Bazille,1868,#394c4f,49,View of the Village of Castelnau-le-Lez,https://uploads4.wikiart.org/images/Bazille-Bazille/view-of-the-village-of-castelnau-le-lez-1868.jpg
Bazille,1868,#351f1f,50,Self-Portrait at Saint-Saveur,https://uploads3.wikiart.org/images/Bazille-Bazille/self-portrait-at-saint-saveur-1868.jpg
Bazille,1869,#5d6672,6,Woman in Moorish Costume,https://uploads2.wikiart.org/images/Bazille-Bazille/woman-in-moorish-costume.jpg
Bazille,1869,#b79c8e,9,Toilet,https://uploads7.wikiart.org/images/Bazille-Bazille/toilet-1870.jpg
Bazille,1869,#2c262b,21,Young Woman with Lowered Eyes,https://uploads7.wikiart.org/images/Bazille-Bazille/young-woman-with-lowered-eyes.jpg
Bazille,1869,#36503e,27,bathers (summer scene),http://www.wga.hu/art/b/Bazille/07bather.jpg
Bazille,1869,#170d09,32,The Fortune Teller,https://uploads5.wikiart.org/images/Bazille-Bazille/the-fortune-teller.jpg
Bazille,1869,#1a171d,40,Portrait of Edmond Maitre,https://uploads3.wikiart.org/images/Bazille-Bazille/portrait-of-edmond-maitre.jpg
Bazille,1869,#456438,51,Bathers (Summer Scene),https://uploads3.wikiart.org/images/Bazille-Bazille/bathers-summer-scene-1869.jpg
Bazille,1870,#a49177,1,the artist's studio (detail),http://www.wga.hu/art/b/Bazille/10studiox.jpg
Bazille,1870,#18130e,2,After the Bath,https://uploads1.wikiart.org/images/Bazille-Bazille/after-the-bath.jpg
Bazille,1870,#292225,3,Negress with Peonies,https://uploads3.wikiart.org/images/Bazille-Bazille/negress-with-peonies-1870.jpg
Bazille,1870,#90b1b2,14,Landscape on the Shore of Lez,https://uploads7.wikiart.org/images/Bazille-Bazille/landscape-on-the-shore-of-lez.jpg
Bazille,1870,#40321e,30,louis auriol fishing,http://www.wga.hu/art/b/Bazille/09auriol.jpg
Bazille,1870,#846f48,39,"The Artist&#39;s Studio, Rue de la Condamine",https://uploads4.wikiart.org/images/Bazille-Bazille/the-artist-s-studio-rue-de-la-condamine-1870.jpg
Bazille,1870,#788019,44,Louis Auriol Fishing,https://uploads7.wikiart.org/images/Bazille-Bazille/louis-auriol-fishing.jpg
Bazille,1870,#0b0b0a,58,after the bath,http://www.wga.hu/art/b/Bazille/08afterb.jpg
Bazille,1870,#575553,59,the artist's studio,http://www.wga.hu/art/b/Bazille/10studio.jpg
Caillebotte,1850,#282723,221,"Petit Gennevilliers, Facade, Southeast of the Artist&#39;s Studio, Overlooking the Garden, Spring",https://uploads7.wikiart.org/images/Caillebotte-caillebotte/petit-gennevilliers-facade-southeast-of-the-artist-s-studio-overlooking-the-garden-spring.jpg
Caillebotte,1870,#3b3422,111,"Yerres, Colonnade of the Casin",https://uploads1.wikiart.org/images/Caillebotte-caillebotte/yerres-colonnade-of-the-casin.jpg
Caillebotte,1871,#1c0f12,94,"Yerres, Dark Bay Horse in the Stable",https://uploads7.wikiart.org/images/Caillebotte-caillebotte/yerres-dark-bay-horse-in-the-stable.jpg
Caillebotte,1871,#905a30,101,Le Clos des Abbesses,https://uploads1.wikiart.org/images/Caillebotte-caillebotte/le-clos-des-abbesses.jpg
Caillebotte,1871,#483424,105,"Yerres, Soldiers in the Woods",https://uploads0.wikiart.org/images/Caillebotte-caillebotte/yerres-soldiers-in-the-woods.jpg
Caillebotte,1871,#8b6356,122,Meaux. Effect of Sunlight on the Old Chapterhouse,https://uploads2.wikiart.org/images/Caillebotte-caillebotte/meaux-effect-of-sunlight-on-the-old-chapterhouse.jpg
Caillebotte,1871,#bf8062,123,The Briard Plain,https://uploads6.wikiart.org/images/Caillebotte-caillebotte/the-briard-plain.jpg
Caillebotte,1871,#1e0e11,125,"Yerres, Reddish Bay Horse in the Stable",https://uploads1.wikiart.org/images/Caillebotte-caillebotte/yerres-reddish-bay-horse-in-the-stable.jpg
Caillebotte,1871,#4a462a,127,"Yerres, Part of the South Fa&#231;ade of the Casin",https://uploads7.wikiart.org/images/Caillebotte-caillebotte/yerres-part-of-the-south-façade-of-the-casin.jpg
Caillebotte,1871,#7b3f2c,138,"Peaches, Nectarines and Apricots",https://uploads3.wikiart.org/images/Caillebotte-caillebotte/peaches-nectarines-and-apricots.jpg
Caillebotte,1871,#4a492b,159,"Yerres, Path Through the Woods in the Park",https://uploads4.wikiart.org/images/Caillebotte-caillebotte/yerres-path-through-the-woods-in-the-park.jpg
Caillebotte,1871,#4a3a30,162,"Yerres, Camille Daurelle under an Oak Tree",https://uploads4.wikiart.org/images/Caillebotte-caillebotte/yerres-camille-daurelle-under-an-oak-tree.jpg
Caillebotte,1871,#1e110d,179,"Yerres, Path Through the Old Growth Woods in the Park",https://uploads6.wikiart.org/images/Caillebotte-caillebotte/yerres-path-through-the-old-growth-woods-in-the-park.jpg
Caillebotte,1871,#553624,193,"The Yerres, Effect of Ligh",https://uploads6.wikiart.org/images/Caillebotte-caillebotte/the-yerres-effect-of-ligh.jpg
Caillebotte,1871,#623c22,215,"Peaches, Apples and Grapes on a Vine Leaf",https://uploads3.wikiart.org/images/Caillebotte-caillebotte/peaches-apples-and-grapes-on-a-vine-leaf.jpg
Caillebotte,1871,#33271e,220,"Yerres, the Aviary in the Ornamental Farm",https://uploads3.wikiart.org/images/Caillebotte-caillebotte/yerres-the-aviary-in-the-ornamental-farm.jpg
Caillebotte,1871,#969aad,225,"Yerres, the Lawn in the Park, Seen from a Path",https://uploads7.wikiart.org/images/Caillebotte-caillebotte/yerres-the-lawn-in-the-park-seen-from-a-path.jpg
Caillebotte,1871,#46432c,261,Garden Rose and Blue Forget Me Nots in a Vase,https://uploads8.wikiart.org/images/Caillebotte-caillebotte/garden-rose-and-blue-forget-me-nots-in-a-vase.jpg
Caillebotte,1871,#494836,263,"Yerres, on the Pond, Water Lilies",https://uploads3.wikiart.org/images/Caillebotte-caillebotte/yerres-on-the-pond-water-lilies.jpg
Caillebotte,1871,#1e1b15,266,"Yerres, Through the Grove, the Ornamental Farm",https://uploads7.wikiart.org/images/Caillebotte-caillebotte/yerres-through-the-grove-the-ornamental-farm.jpg
Caillebotte,1871,#54362c,270,Garlic Cloves and Knife on the Corner of a Table,https://uploads2.wikiart.org/images/Caillebotte-caillebotte/garlic-cloves-and-knife-on-the-corner-of-a-table.jpg
Caillebotte,1872,#323538,124,A Road in Naples,https://uploads6.wikiart.org/images/Caillebotte-caillebotte/a-road-in-naples.jpg
Caillebotte,1872,#4f413b,133,Interior of a Studio,https://uploads1.wikiart.org/images/Caillebotte-caillebotte/interior-of-a-studio.jpg
Caillebotte,1872,#251a12,182,Willows by the Yerres,https://uploads2.wikiart.org/images/Caillebotte-caillebotte/willows-by-the-yerres.jpg
Caillebotte,1872,#1a0e12,268,Landscape with Railway Tracks,https://uploads1.wikiart.org/images/Caillebotte-caillebotte/landscape-with-railway-tracks.jpg
Caillebotte,1873,#3b3d42,172,Naked Woman Lying on a Couch,https://uploads0.wikiart.org/images/Caillebotte-caillebotte/naked-woman-lying-on-a-couch.jpg
Caillebotte,1873,#979290,195,Woman at a Dressing Table,https://uploads6.wikiart.org/images/Caillebotte-caillebotte/woman-at-a-dressing-table.jpg
Caillebotte,1873,#212621,289,Self-Portrait with Pith Helmet,https://uploads2.wikiart.org/images/Caillebotte-caillebotte/self-portrait-with-pith-helmet.jpg
Caillebotte,1874,#a47f5a,76,Woods at la Grange,https://uploads8.wikiart.org/images/Caillebotte-caillebotte/woods-at-la-grange.jpg
Caillebotte,1874,#8a7a57,86,Woman Seated Beneath a Tree,https://uploads8.wikiart.org/images/Caillebotte-caillebotte/woman-seated-beneath-a-tree.jpg
Caillebotte,1874,#d6ac7e,95,Loaded Haycart,https://uploads4.wikiart.org/images/Caillebotte-caillebotte/loaded-haycart.jpg
Caillebotte,1874,#e4b6a0,110,Landscape with Haystacks,https://uploads5.wikiart.org/images/Caillebotte-caillebotte/landscape-with-haystacks.jpg
Caillebotte,1874,#71572f,160,Woman Seated on the Lawn,https://uploads5.wikiart.org/images/Caillebotte-caillebotte/woman-seated-on-the-lawn.jpg
Caillebotte,1874,#e1dae6,174,"Harvest, Landscape with Five Haystacks",https://uploads0.wikiart.org/images/Caillebotte-caillebotte/harvest-landscape-with-five-haystacks.jpg
Caillebotte,1874,#6a4043,217,Horses in the Stable,https://uploads1.wikiart.org/images/Caillebotte-caillebotte/horses-in-the-stable.jpg
Caillebotte,1875,#555762,78,The Parquet Planers,https://uploads5.wikiart.org/images/Caillebotte-caillebotte/the-parquet-planers-1875.jpg
Caillebotte,1875,#30342c,90,Man at the Window,https://uploads3.wikiart.org/images/Caillebotte-caillebotte/man-at-the-window-1875.jpg
Caillebotte,1875,#aa9e48,126,Self-Portrait,https://uploads5.wikiart.org/images/Caillebotte-caillebotte/self-portrait-1.jpg
Caillebotte,1875,#e7e9ec,146,The Floor Scrapers (study),https://uploads5.wikiart.org/images/Caillebotte-caillebotte/the-floor-scrapers-study.jpg
Caillebotte,1875,#2f4743,150,"The Yerres, Rain",https://uploads5.wikiart.org/images/Caillebotte-caillebotte/the-yerres-rain.jpg
Caillebotte,1875,#1c1312,153,"Landscape, Banks of the Yerres",https://uploads1.wikiart.org/images/Caillebotte-caillebotte/landscape-banks-of-the-yerres.jpg
Caillebotte,1875,#8a6d26,165,The Park on the Caillebotte Property at Yerres,https://uploads0.wikiart.org/images/Caillebotte-caillebotte/the-park-on-the-caillebotte-property-at-yerres.jpg
Caillebotte,1875,#b8c9db,200,The Gardeners,https://uploads8.wikiart.org/images/Caillebotte-caillebotte/the-gardeners-1877.jpg
Caillebotte,1875,#d7d9d3,229,riverbank in morning haze,http://www.wga.hu/art/c/caillebo/02river.jpg
Caillebotte,1875,#3f2d30,241,Billiards,https://uploads8.wikiart.org/images/Caillebotte-caillebotte/billiards.jpg
Caillebotte,1875,#434038,246,Study for &#39;The Parquet Planers&#39;,https://uploads6.wikiart.org/images/Caillebotte-caillebotte/study-for-the-parquet-planers-1875.jpg
Caillebotte,1875,#181503,255,floor scrapers,http://www.wga.hu/art/c/caillebo/01floor.jpg
Caillebotte,1876,#241f3e,62,The Pont de Europe (study),https://uploads5.wikiart.org/images/Caillebotte-caillebotte/the-pont-de-europe-study.jpg
Caillebotte,1876,#746b8c,77,Le Pont de L&#39;Europe,https://uploads2.wikiart.org/images/Caillebotte-caillebotte/le-pont-de-l-europe-1.jpg
Caillebotte,1876,#383836,81,Study for Le Pont de l&#39;Europe,https://uploads1.wikiart.org/images/Caillebotte-caillebotte/study-for-le-pont-de-l-europe.jpg
Caillebotte,1876,#3d5571,92,Le Pont de l&#39;Europe,https://uploads5.wikiart.org/images/Caillebotte-caillebotte/le-pont-de-l-europe-1877.jpg
Caillebotte,1876,#c2a591,104,Young Man Playing the Piano,https://uploads4.wikiart.org/images/Caillebotte-caillebotte/young-man-playing-the-piano-1876.jpg
Caillebotte,1876,#8f80ad,118,Portraits in the Countryside,https://uploads0.wikiart.org/images/Caillebotte-caillebotte/portraits-in-the-countryside.jpg
Caillebotte,1876,#070a0b,121,on the pont de l'europe,http://www.wga.hu/art/c/caillebo/03pont.jpg
Caillebotte,1876,#423e33,218,Fishermen on the Banks of the Yerres,https://uploads8.wikiart.org/images/Caillebotte-caillebotte/fishermen-on-the-banks-of-the-yerres.jpg
Caillebotte,1876,#172025,219,Luncheon,https://uploads3.wikiart.org/images/Caillebotte-caillebotte/luncheon-1876.jpg
Caillebotte,1876,#4b3a27,262,Garden at Yerres,https://uploads6.wikiart.org/images/Caillebotte-caillebotte/garden-at-yerres.jpg
Caillebotte,1876,#a65c3d,285,The Parquet Planers,https://uploads5.wikiart.org/images/Caillebotte-caillebotte/the-parquet-planers-1876.jpg
Caillebotte,1877,#4a4638,63,Boaters Rowing on the Yerres,https://uploads0.wikiart.org/images/Caillebotte-caillebotte/boaters-rowing-on-the-yerres.jpg
Caillebotte,1877,#34312d,70,The Park at Yerres,https://uploads8.wikiart.org/images/Caillebotte-caillebotte/the-park-at-yerres.jpg
Caillebotte,1877,#261c23,100,"paris street, rainy day (detail)",http://www.wga.hu/art/c/caillebo/04rainy2.jpg
Caillebotte,1877,#734e4b,115,"The Kitchen Garden, Yerres",https://uploads6.wikiart.org/images/Caillebotte-caillebotte/the-kitchen-garden-yerres.jpg
Caillebotte,1877,#37322c,139,Landscape near Yerres,https://uploads2.wikiart.org/images/Caillebotte-caillebotte/landscape-near-yerres.jpg
Caillebotte,1877,#0a0b0b,140,"paris street, rainy day (detail)",http://www.wga.hu/art/c/caillebo/04rainy1.jpg
Caillebotte,1877,#284249,144,Skiffs on the Yerres,https://uploads1.wikiart.org/images/Caillebotte-caillebotte/skiffs-on-the-yerres.jpg
Caillebotte,1877,#3e4946,154,Boating on the Yerres,https://uploads2.wikiart.org/images/Caillebotte-caillebotte/boating-on-the-yerres.jpg
Caillebotte,1877,#504340,163,The House Painters,https://uploads4.wikiart.org/images/Caillebotte-caillebotte/the-house-painters-1877.jpg
Caillebotte,1877,#402a28,188,Portrait of Mademoiselle Boissiere Knitting,https://uploads2.wikiart.org/images/Caillebotte-caillebotte/portrait-of-mademoiselle-boissiere-knitting-1877.jpg
Caillebotte,1877,#bccee5,190,Camille Daurelle in the Park at Yerres,https://uploads1.wikiart.org/images/Caillebotte-caillebotte/camille-daurelle-in-the-park-at-yerres.jpg
Caillebotte,1877,#bf9c99,191,The Gardener,https://uploads2.wikiart.org/images/Caillebotte-caillebotte/the-gardener.jpg
Caillebotte,1877,#463125,192,The Canoe,https://uploads8.wikiart.org/images/Caillebotte-caillebotte/the-canoe.jpg
Caillebotte,1877,#2d2c32,194,"Paris, a Rainy Day",https://uploads3.wikiart.org/images/Caillebotte-caillebotte/paris-a-rainy-day-1877.jpg
Caillebotte,1877,#6f411c,196,"The Wall of the Kitchen Garden, Yerres",https://uploads0.wikiart.org/images/Caillebotte-caillebotte/the-wall-of-the-kitchen-garden-yerres.jpg
Caillebotte,1877,#6c903a,202,The Nap,https://uploads6.wikiart.org/images/Caillebotte-caillebotte/the-nap.jpg
Caillebotte,1877,#827270,206,"paris street, rainy day",http://www.wga.hu/art/c/caillebo/04rainy.jpg
Caillebotte,1877,#0e100f,233,canoeing on the yerres,http://www.wga.hu/art/c/caillebo/05yerres.jpg
Caillebotte,1877,#190b17,234,Portrait of a Man,https://uploads7.wikiart.org/images/Caillebotte-caillebotte/portrait-of-a-man.jpg
Caillebotte,1877,#9a9183,239,"The Bather, or The Diver",https://uploads0.wikiart.org/images/Caillebotte-caillebotte/the-bather-or-the-diver-1877.jpg
Caillebotte,1877,#b7c6c0,245,Boaters on the Yerres,https://uploads2.wikiart.org/images/Caillebotte-caillebotte/boaters-on-the-yerres.jpg
Caillebotte,1877,#5c5a9a,253,Portrait of Camille Daurelle,https://uploads0.wikiart.org/images/Caillebotte-caillebotte/portrait-of-camille-daurelle.jpg
Caillebotte,1877,#eae2d4,256,The Wall of the Garden,https://uploads3.wikiart.org/images/Caillebotte-caillebotte/the-wall-of-the-garden.jpg
Caillebotte,1877,#221720,264,"Paris, a Rainy Day",https://uploads7.wikiart.org/images/Caillebotte-caillebotte/paris-a-rainy-day.jpg
Caillebotte,1877,#1d2e3a,277,Portrait of Madame Martial Caillebotte,https://uploads6.wikiart.org/images/Caillebotte-caillebotte/portrait-of-madame-martial-caillebotte-1877.jpg
Caillebotte,1877,#153041,280,Rower in a Top Hat,https://uploads4.wikiart.org/images/Caillebotte-caillebotte/rower-in-a-top-hat-1878.jpg
Caillebotte,1877,#151617,290,Portrait of a Young Woman in an Interior,https://uploads3.wikiart.org/images/Caillebotte-caillebotte/portrait-of-a-young-woman-in-an-interior.jpg
Caillebotte,1878,#9294a3,68,bathers about to dive into the yerres,http://www.wga.hu/art/c/caillebo/09bather.jpg
Caillebotte,1878,#2f362e,71,canoeing,http://www.wga.hu/art/c/caillebo/06canoe.jpg
Caillebotte,1878,#b1908e,79,The Painter under His Parasol,https://uploads1.wikiart.org/images/Caillebotte-caillebotte/the-painter-under-his-parasol.jpg
Caillebotte,1878,#9caed1,91,"Place Saint Augustin, Misty Weather",https://uploads6.wikiart.org/images/Caillebotte-caillebotte/place-saint-augustin-misty-weather.jpg
Caillebotte,1878,#848aa0,96,View of Roofs (Snow Effect) or Roofs under Snow,https://uploads4.wikiart.org/images/Caillebotte-caillebotte/view-of-roofs-snow-effect-or-roofs-under-snow-1878.jpg
Caillebotte,1878,#5e565a,119,"Rue Halevy, Seen from the Sixth Floor",https://uploads8.wikiart.org/images/Caillebotte-caillebotte/rue-halevy-seen-from-the-sixth-floor.jpg
Caillebotte,1878,#142b35,129,Portrait of Cezanne Hugot,https://uploads3.wikiart.org/images/Caillebotte-caillebotte/portrait-of-Cezanne-hugot.jpg
Caillebotte,1878,#454546,135,Bather Preparing to Dive,https://uploads5.wikiart.org/images/Caillebotte-caillebotte/bather-preparing-to-dive.jpg
Caillebotte,1878,#292631,137,snow-covered roofs in paris,http://www.wga.hu/art/c/caillebo/07roof.jpg
Caillebotte,1878,#080c0e,151,rooftops in the snow,http://www.wga.hu/art/c/caillebo/08roof.jpg
Caillebotte,1878,#43544b,157,canoeing (detail),http://www.wga.hu/art/c/caillebo/06canoe1.jpg
Caillebotte,1878,#668dc2,173,Portrait of Madame X...,https://uploads1.wikiart.org/images/Caillebotte-caillebotte/portrait-of-madame-x.jpg
Caillebotte,1878,#282c1b,177,The Garden,https://uploads0.wikiart.org/images/Caillebotte-caillebotte/the-garden.jpg
Caillebotte,1878,#274752,203,The Canoes,https://uploads5.wikiart.org/images/Caillebotte-caillebotte/the-canoes-1878.jpg
Caillebotte,1878,#34160a,208,"Rue Halevy, Balcony View",https://uploads4.wikiart.org/images/Caillebotte-caillebotte/rue-halevy-balcony-view.jpg
Caillebotte,1878,#584118,228,Angling,https://uploads2.wikiart.org/images/Caillebotte-caillebotte/angling-1878.jpg
Caillebotte,1878,#9287b1,244,The Orange Trees or The Artist&#39;s Brother in His Garden,https://uploads4.wikiart.org/images/Caillebotte-caillebotte/the-orange-trees-or-the-artist-s-brother-in-his-garden-1878.jpg
Caillebotte,1878,#6f5a39,248,Banks of the Yerres,https://uploads0.wikiart.org/images/Caillebotte-caillebotte/banks-of-the-yerres.jpg
Caillebotte,1878,#8f654e,251,The Perpiniere Barracks,https://uploads4.wikiart.org/images/Caillebotte-caillebotte/the-perpiniere-barracks.jpg
Caillebotte,1878,#352712,267,Bathers on the Banks of the Yerres,https://uploads2.wikiart.org/images/Caillebotte-caillebotte/bathers-on-the-banks-of-the-yerres-1878.jpg
Caillebotte,1878,#9b9c71,271,The Park Monceau,https://uploads6.wikiart.org/images/Caillebotte-caillebotte/the-park-monceau.jpg
Caillebotte,1878,#baa687,272,"Roof under the Snow, Paris",https://uploads6.wikiart.org/images/Caillebotte-caillebotte/roof-under-the-snow-paris.jpg
Caillebotte,1879,#150d11,64,Portrait of a Schoolboy,https://uploads4.wikiart.org/images/Caillebotte-caillebotte/portrait-of-a-schoolboy.jpg
Caillebotte,1879,#a2886b,74,Portrait of Jules Richemont,https://uploads8.wikiart.org/images/Caillebotte-caillebotte/portrait-of-jules-richemont.jpg
Caillebotte,1879,#213734,214,Self-Portrait with an Easel,https://uploads8.wikiart.org/images/Caillebotte-caillebotte/self-portrait-with-an-easel.jpg
Caillebotte,1879,#292727,232,Still Life,https://uploads0.wikiart.org/images/Caillebotte-caillebotte/still-life.jpg
Caillebotte,1879,#7f665e,291,Boulevard Haussmann in the Snow,https://uploads3.wikiart.org/images/Caillebotte-caillebotte/boulevard-haussmann-in-the-snow.jpg
Caillebotte,1880,#926d59,66,Cliff at Villers sur Me,https://uploads4.wikiart.org/images/Caillebotte-caillebotte/cliff-at-villers-sur-me.jpg
Caillebotte,1880,#122328,72,"Man on a Balcony, Boulevard Haussmann",https://uploads4.wikiart.org/images/Caillebotte-caillebotte/man-on-a-balcony-boulevard-haussmann-1880.jpg
Caillebotte,1880,#c4cfbe,75,"Seascape, Regatta at Villers",https://uploads8.wikiart.org/images/Caillebotte-caillebotte/seascape-regatta-at-villers.jpg
Caillebotte,1880,#9d7452,83,Traffic Island on Boulevard Haussmann,https://uploads0.wikiart.org/images/Caillebotte-caillebotte/traffic-island-on-boulevard-haussmann.jpg
Caillebotte,1880,#b5c8d1,128,Villas at Villers sur Mer,https://uploads6.wikiart.org/images/Caillebotte-caillebotte/villas-at-villers-sur-mer.jpg
Caillebotte,1880,#bea998,134,Melon and Fruit Bowl with Figs,https://uploads7.wikiart.org/images/Caillebotte-caillebotte/melon-and-fruit-bowl-with-figs-1882.jpg
Caillebotte,1880,#a17363,143,A Balcony in Paris,https://uploads4.wikiart.org/images/Caillebotte-caillebotte/a-balcony-in-paris-1881.jpg
Caillebotte,1880,#0e1315,155,in a caf,http://www.wga.hu/art/c/caillebo/10incafe.jpg
Caillebotte,1880,#927974,158,Three Partridges on a Table,https://uploads8.wikiart.org/images/Caillebotte-caillebotte/three-partridges-on-a-table.jpg
Caillebotte,1880,#574658,170,Portrait of a Man,https://uploads3.wikiart.org/images/Caillebotte-caillebotte/portrait-of-a-man-1880.jpg
Caillebotte,1880,#060403,176,"At the Cafe, Rouen",https://uploads3.wikiart.org/images/Caillebotte-caillebotte/at-the-cafe-rouen-1880.jpg
Caillebotte,1880,#e1d3c1,201,"boulevard haussmann, snow",http://www.wga.hu/art/c/caillebo/11hausma.jpg
Caillebotte,1880,#1f1c12,213,Still Life with Crayfish,https://uploads1.wikiart.org/images/Caillebotte-caillebotte/still-life-with-crayfish-1882.jpg
Caillebotte,1880,#c2b1ac,250,"Interior, Woman Reading",https://uploads8.wikiart.org/images/Caillebotte-caillebotte/interior-woman-reading-1880.jpg
Caillebotte,1880,#17212a,254,"Interior, Woman at the Window",https://uploads5.wikiart.org/images/Caillebotte-caillebotte/interior-woman-at-the-window-1880.jpg
Caillebotte,1880,#493f38,258,Boulevard des Italiens,https://uploads3.wikiart.org/images/Caillebotte-caillebotte/boulevard-des-italiens.jpg
Caillebotte,1880,#ad8e90,274,The Bezique Game,https://uploads6.wikiart.org/images/Caillebotte-caillebotte/the-bezique-game.jpg
